"compound"	"label"	"case"	"pos"	"head.word"	"head.pos"	"sentence"	"citat"	"text"	"cpdID"	"pos1"	"pos2"	"lemma1"	"lemma2"	"intLabel"	"cpdType"	"endoExo"	"lemma1id"	"lemma2id"	"occID1"	"occID2"	"time.slot"	"veda"	"sakha"	"group"	"register"
"āgneya-agnīṣomīyau"	"orphan"	"Acc"	"ADJ"	"upāṃśuyājam"	"NOUN"	"paurṇamāsyām āgneyāgnīṣomīyāv antaropāṃśuyājam agnīṣomīyam asmai kṣatram iti /"	"VaitS, 1, 3, 4"	"Vaitānasūtra"	6917	"ADJ"	"ADJ"	"āgneya"	"agnīṣomīya"	"compound"	"coord"	"endo"	62121	175490	5246731	5246732	"5-SU"	"AV"	"Śaunaka"	"ŚS"	"prose"
"aindra-vaiṣṇavān"	"conj"	"Acc"	"ADJ"	"āgneyān"	"ADJ"	"pratyṛtu paśūn ālabhate ṣaṭṣaḍ vasantādy āgneyān aindrān pārjanyān mārutān vā maitrāvaruṇān aindravaiṣṇavān aindrābārhaspatyān //"	"KātyŚS, 20, 8, 30"	"Kātyāyanaśrautasūtra"	6359	"ADJ"	"ADJ"	"aindra"	"vaiṣṇava"	"compound"	"coord"	"endo"	39926	120873	5417435	5417436	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"aindra-vāyavam"	"root"	"Nom"	"ADJ"			"ata evottaraṃ tṛcam aindravāyavaṃ yāvat taras tanvo yāvadoja iti yāvannaraścakṣasā dīdhyānā ityetena rūpeṇa //"	"ŚāṅkhĀ, 1, 2, 15"	"Śāṅkhāyanāraṇyaka"	2928	"ADJ"	"ADJ"	"aindra"	"vāyava"	"compound"	"coord"	"endo"	39926	46344	4015957	4015958	"4-PL"	"RV"	"Śāṅkhāyana"	"Ā"	"prose"
"anādi-anantam"	"acl"	"Acc"	"ADJ"	"sraṣṭāram"	"NOUN"	"anādyanantaṃ kalilasya madhye viśvasya sraṣṭāram anekarūpaṃ /"	"ŚvetU, 5, 13"	"Śvetāśvataropaniṣad"	2185	"ADJ"	"ADJ"	"anādi"	"ananta"	"compound"	"coord"	"endo"	10273	9854	5278585	5278586	"5-SU"	"Black YV"	"None"	"U"	"metrical"
"anvak-sthānīye"	"acl"	"Loc"	"ADJ"	"tasmin"	"PRON"	"yasmiṃstv anācāryasaṃbandhād gauravaṃ vṛttis tasminn anvaksthānīye 'py ācāryasya //"	"ĀpDhS, 1, 6, 35"	"Āpastambadharmasūtra"	7568	"ADJ"	"ADJ"	"anvañc"	"sthānīya"	"amod"	"attrib"	"endo"	219547	102913	5397076	5397077	"5-SU"	"Black YV"	"Taittirīya"	"DhS"	"prose"
"aprāmi-satya"	"vocative"	"Voc"	"ADJ"	"tathā"	"ADV"	"aprāmisatya maghavan tathed asad indra kratvā yathā vaśaḥ /"	"ṚV, 8, 61, 4"	"Ṛgveda"	3696	"ADJ"	"ADJ"	"aprāmi"	"satya"	"amod"	"attrib"	"endo"	221091	16630	4734618	4734619	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"arasa-arasam"	"root"	"Nom"	"ADJ"			"utārasasya vṛkṣasya dhanuṣ ṭe arasārasam //"	"AVŚ, 4, 6, 6"	"Atharvaveda (Śaunaka)"	4302	"ADJ"	"ADJ"	"arasa"	"arasa"	"compound"	"coord"	"endo"	32624	32624	4514070	4514071	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"ardha-astamite"	"acl"	"Loc"	"ADJ"	"maṇḍale"	"NOUN"	"sāyam uttarāparābhimukho 'nvaṣṭamadeśaṃ sāvitrīṃ japed ardhāstamite maṇḍala ā nakṣatradarśanāt //"	"ĀśvGS, 3, 7, 4"	"Āśvalāyanagṛhyasūtra"	1386	"ADJ"	"ADJ"	"ardha"	"astamita"	"amod"	"attrib"	"endo"	53321	61204	5012531	5012532	"5-SU"	"RV"	"Āśvalāyana"	"GS"	"prose"
"aśītika-avaraḥ"	"acl"	"Nom"	"ADJ"	"śūdraḥ"	"NOUN"	"tathānyaḥ pūrvaḥ pauro 'śītikāvaraḥ śūdro 'pyapatyasamena //"	"GautDhS, 1, 6, 10"	"Gautamadharmasūtra"	2326	"ADJ"	"ADJ"	"aśītika"	"avara"	"obl"	"subord"	"endo"	59980	54436	3283020	3283021	"5-SU"	"SV"	"None"	"DhS"	"prose"
"āśvattha-pailavau"	"nsubj"	"Nom"	"ADJ"	"śeṣe"	"NOUN"	"āśvatthapailavau śeṣe //"	"GautDhS, 1, 1, 24"	"Gautamadharmasūtra"	2262	"ADJ"	"ADJ"	"āśvattha"	"pailava"	"compound"	"coord"	"endo"	62795	150240	2743976	2743977	"5-SU"	"SV"	"None"	"DhS"	"prose"
